robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, b, north
robot_A => 1, b, west
robot_A => 1, b, south
robot_A => 1, a, south
robot_A => 1, b, north
robot_A => 1, b, west
robot_A => 1, b, south
robot_A => 1, a, south
robot_B => 3, c, south
robot_B => 3, c, east
robot_B => 3, c, north
robot_B => 3, d, north
robot_B => 3, d, north
robot_B => 3, e, north
robot_B => 3, e, north
robot_B => 3, e, west
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, c, south
robot_B => 3, b, south
robot_B => 3, c, south
robot_B => 3, c, east
robot_B => 3, c, north
robot_B => 3, d, north
robot_B => 3, d, north
robot_B => 3, e, north
robot_B => 3, e, north
robot_B => 3, e, west
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, c, south
robot_B => 3, b, south
robot_B => 3, c, south
robot_B => 3, c, east
robot_B => 3, c, north
robot_B => 3, d, north
robot_B => 3, d, north
robot_B => 3, e, north
robot_B => 3, e, north
robot_B => 3, e, west
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, c, south
robot_B => 3, b, south
robot_B => 3, c, south
robot_B => 3, c, east
robot_B => 3, c, north
robot_B => 3, d, north
robot_B => 3, d, north
robot_B => 3, e, north
robot_B => 3, e, north
robot_B => 3, e, west
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, c, south
robot_B => 3, b, south
robot_B => 3, b, south
robot_B => 3, b, east
robot_B => 4, b, east
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, east
robot_B => 4, a, north
robot_B => 4, b, north
robot_B => 4, b, north
robot_B => 4, b, west
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, south
robot_B => 4, a, west
robot_B => 4, a, north
robot_B => 4, a, east
robot_B => 5, a, east
robot_B => 3, c, south
robot_B => 3, c, east
robot_B => 3, c, north
robot_B => 3, d, north
robot_B => 3, d, north
robot_B => 3, e, north
robot_B => 3, e, north
robot_B => 3, e, west
robot_B => 3, e, south
robot_B => 3, d, south
robot_B => 3, c, south
robot_B => 3, b, south
robot_B => 3, b, south
robot_B => 3, b, east
robot_B => 4, b, east
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, east
robot_B => 4, a, north
robot_B => 4, b, north
robot_B => 4, b, north
robot_B => 4, b, west
robot_B => 4, b, south
robot_B => 4, a, south
robot_B => 4, a, south
robot_B => 4, a, west
robot_B => 4, a, north
robot_B => 4, a, east
robot_B => 5, a, east
robot_B => 5, a, north
robot_B => 5, a, west
robot_B => 4, a, west
robot_B => 4, a, north
robot_B => 4, b, north
robot_B => 4, b, east
robot_B => 4, b, north
robot_B => 4, c, north
robot_B => 4, c, east
robot_B => 5, c, east
robot_B => 5, c, north
robot_B => 5, c, west
robot_B => 5, c, south
robot_B => 5, b, south
robot_B => 5, b, south
robot_B => 5, b, east
robot_B => 5, b, north
robot_B => 5, c, north
robot_B => 5, c, east
robot_B => 5, c, north
robot_B => 5, d, north
robot_B => 5, d, east
robot_B => 5, d, north
robot_B => 5, e, north
robot_B => 5, e, east
robot_B => 5, e, north
robot_B => 5, e, west
robot_B => 4, e, west
robot_B => 4, e, north
robot_B => 4, e, west
robot_B => 4, e, south
robot_B => 4, d, south
robot_B => 4, d, west
robot_B => 3, d, west
robot_B => 3, d, north
robot_B => 3, d, east
robot_B => 4, d, east
robot_B => 5, d, east
robot_B => 5, d, north
robot_B => 5, d, west
robot_B => 5, d, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
robot_B => 5, c, south
